wkt_geom,DN,id,kerentanan,Bobot,id_2,kerentan_1,Nilai
"MultiPolygon (((174979.74632531101815403 9173642.45144460909068584, 174980.14354788709897548 9173583.02067953161895275, 174950.48490945668891072 9173582.82243136875331402, 174950.25493161825579591 9173617.22760230116546154, 174970.24540529158548452 9173642.38794185407459736, 174979.74632531101815403 9173642.45144460909068584)))",1,0,menengah,2,0,menengah,2
"MultiPolygon (((175038.66653264447813854 9173702.27859477512538433, 175039.06365406734403223 9173642.84785861521959305, 175068.72230801585828885 9173643.04603839106857777, 175069.31798884586896747 9173553.89995305798947811, 175098.97658128448529169 9173554.0981355719268322, 175099.17513757338747382 9173524.38278022781014442, 175128.83370487217325717 9173524.58095155097544193, 175129.23080236971145496 9173465.15025399252772331, 175099.5722714503062889 9173464.95206874422729015, 175069.91373357985867187 9173464.75386534072458744, 175069.71514490141998976 9173494.46922817826271057, 175010.3980119320913218 9173494.07278083264827728, 175010.19939397519920021 9173523.78815733455121517, 175039.85798212623922154 9173523.98638311959803104, 175039.65938945981906727 9173553.70175239071249962, 175010.00078311993274838 9173553.50353357009589672, 175009.80217936658300459 9173583.21890954114496708, 174980.14354788709897548 9173583.02067953161895275, 174979.74632531101815403 9173642.45144460909068584, 175009.40499316487694159 9173642.64966068789362907, 175009.27755409869132563 9173661.71966107375919819, 175018.16061239689588547 9173667.58959575556218624, 175025.3312410730868578 9173696.08435036055743694, 175034.93797516849008389 9173702.25367997772991657, 175038.66653264447813854 9173702.27859477512538433)))",0,0,menengah,2,0,menengah,2
"MultiPolygon (((174980.14354788709897548 9173583.02067953161895275, 174980.34216982871294022 9173553.30529659427702427, 174950.68354958662530407 9173553.10704146511852741, 174951.27951259410474449 9173463.96087017096579075, 174921.62093996640760452 9173463.76257598958909512, 174891.962360386736691 9173463.56426365301012993, 174891.76366256736218929 9173493.27966828271746635, 174921.42226033727638423 9173493.47797365300357342, 174920.84705807513091713 9173579.51390029303729534, 174928.79053810052573681 9173580.29103819467127323, 174931.44209289387799799 9173582.69512800872325897, 174980.14354788709897548 9173583.02067953161895275)))",0,0,menengah,2,0,menengah,2
"MultiPolygon (((175329.46067550906445831 9173496.20438835211098194, 175336.70062066786340438 9173487.45847512222826481, 175336.84032427548663691 9173466.53704237192869186, 175307.18184198386734352 9173466.33898421376943588, 175306.98339882533764467 9173496.05429136380553246, 175329.46067550906445831 9173496.20438835211098194)))",1,0,menengah,2,0,menengah,2
"MultiPolygon (((175069.91373357985867187 9173464.75386534072458744, 175070.11232935875887051 9173435.03850224055349827, 175040.45380273176124319 9173434.84027371741831303, 175040.25518876209389418 9173464.55564378201961517, 175069.91373357985867187 9173464.75386534072458744)))",0,0,menengah,2,0,menengah,2
"MultiPolygon (((175083.97752454385044985 9173732.29801170900464058, 175097.93062776330043562 9173710.65091232396662235, 175097.9634735391009599 9173705.73443049192428589, 175093.7299004087690264 9173689.16624805331230164, 175094.94322272326098755 9173664.94194256886839867, 175095.66705386445391923 9173664.17423268966376781, 175098.258435272378847 9173661.58342576958239079, 175098.38095501682255417 9173643.24420001544058323, 175120.10398354299832135 9173643.38930072449147701, 175125.79334116022801027 9173640.73564549349248409, 175140.70002217212459072 9173643.52687361463904381, 175190.45842543893377297 9173643.85923885367810726, 175203.99188916670391336 9173642.5749394129961729, 175229.44167674251366407 9173636.58060165494680405, 175246.84328966133762151 9173618.89833870902657509, 175247.07098099304130301 9173584.80409610830247402, 175264.21331332589033991 9173584.91857648268342018, 175264.7291786961723119 9173582.17999584227800369, 175264.89100301772123203 9173557.94858682714402676, 175276.56327152089215815 9173542.22296725586056709, 175277.01764997624559328 9173541.86152852326631546, 175277.12643714883597568 9173525.57153584994375706, 175297.32683475557132624 9173525.70643598772585392, 175306.83589660609140992 9173518.14238180220127106, 175306.98339882533764467 9173496.05429136380553246, 175277.32489140145480633 9173495.8562220074236393, 175247.66637702891603112 9173495.65813449583947659, 175248.06334320217138156 9173436.22749209590256214, 175218.4048582652467303 9173436.02937251143157482, 175070.11232935875887051 9173435.03850224055349827, 175069.91373357985867187 9173464.75386534072458744, 175099.5722714503062889 9173464.95206874422729015, 175129.23080236971145496 9173465.15025399252772331, 175128.83370487217325717 9173524.58095155097544193, 175099.17513757338747382 9173524.38278022781014442, 175098.97658128448529169 9173554.0981355719268322, 175069.31798884586896747 9173553.89995305798947811, 175068.72230801585828885 9173643.04603839106857777, 175039.06365406734403223 9173642.84785861521959305, 175038.65077430431847461 9173704.63799513131380081, 175045.22581553086638451 9173708.86040788516402245, 175067.16014408227056265 9173731.13217201456427574, 175083.977418405294884 9173732.29801099933683872, 175083.97752454385044985 9173732.29801170900464058)))",1,0,menengah,2,0,menengah,2
"MultiPolygon (((174833.04267007956514135 9173403.73674658499658108, 174833.24142559617757797 9173374.02132722362875938, 174803.58287972578546032 9173373.82293951325118542, 174803.38410601683426648 9173403.53836584277451038, 174833.04267007956514135 9173403.73674658499658108)))",0,0,menengah,2,0,menengah,2
"MultiPolygon (((175368.26346843288047239 9173407.31362843886017799, 175366.9688444352359511 9173396.34104611538350582, 175366.8956344606122002 9173407.30449511483311653, 175368.26346843288047239 9173407.31362843886017799)))",0,0,menengah,2,0,menengah,2
"MultiPolygon (((174833.24142559617757797 9173374.02132722362875938, 174833.44018821843201295 9173344.30590759962797165, 174803.7816605408443138 9173344.10751291923224926, 174803.58287972578546032 9173373.82293951325118542, 174833.24142559617757797 9173374.02132722362875938)))",1,0,menengah,2,0,menengah,2
"MultiPolygon (((175306.98339882533764467 9173496.05429136380553246, 175307.18184198386734352 9173466.33898421376943588, 175350.44330161617835984 9173466.62786930426955223, 175350.68353195016970858 9173465.8063061386346817, 175366.78492821723921224 9173423.88402999192476273, 175366.8956344606122002 9173407.30449511483311653, 175337.23719549644738436 9173407.1064411960542202, 175277.92029673443175852 9173406.71027888730168343, 175278.03055450995452702 9173390.20332096889615059, 175268.67678350524511188 9173384.76477146334946156, 175261.93823815326322801 9173376.88687962852418423, 175248.46033776155672967 9173376.79684863612055779, 175248.56418532828683965 9173361.25155537948012352, 175246.76485488266916946 9173359.14799594879150391, 175240.09449265946750529 9173347.02431023493409157, 175219.0004153247573413 9173346.88338604383170605, 175219.43080255185486749 9173282.46776067651808262, 175212.86781034973682836 9173257.69243868999183178, 175189.93765353102935478 9173257.53921768628060818, 175189.54052942263660952 9173316.96989110670983791, 175159.88210336019983515 9173316.77170736342668533, 175159.68353375961305574 9173346.48705063946545124, 175130.02508255420252681 9173346.28885569795966148, 175129.82650185952661559 9173376.00420567020773888, 175100.16802551416913047 9173375.80599953420460224, 175100.5652303887763992 9173316.37528540194034576, 175070.90678347850916907 9173316.17704718373715878, 175070.70815929799573496 9173345.89241134375333786, 175041.04968724714126438 9173345.69416193105280399, 175040.65242380247218534 9173405.12490338645875454, 175070.31093223806237802 9173405.32313887216150761, 175070.11232935875887051 9173435.03850224055349827, 175218.4048582652467303 9173436.02937251143157482, 175248.06334320217138156 9173436.22749209590256214, 175247.66637702891603112 9173495.65813449583947659, 175306.98339882533764467 9173496.05429136380553246)))",0,0,menengah,2,0,menengah,2
